rhoU,viscU,rhoL,viscL,Gamma,D,lc,Q,S,Pri,Sec,Cohen
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,9.789092014023e-05,0.0055626,1,0,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00014636118156705,0.0073406,1,0,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00018865386066258,0.0085852,1,0,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00023997531394917,0.009906,1,0,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00028606958219106,0.0108712,1,0,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00033216385043295,0.0117602,1,0,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00021336419005083,0.0092964,1,0,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00012782843457318,0.006604,1,0,0
950,0.0265,1325,0.00285,0.038,0.010795,0.00321396883163116,0.00030935431561788,0.0114554,1,0,0
950,0.0265,1325,0.00285,0.038,0.007442,0.00321396883163116,9.789092014023e-05,0.0065532,1,0,0
950,0.0265,1325,0.00285,0.038,0.007442,0.00321396883163116,0.00014398518838212,0.0082296,1,0,0
950,0.0265,1325,0.00285,0.038,0.007442,0.00321396883163116,0.00019245544980894,0.0096012,1,0,0
950,0.0265,1325,0.00285,0.038,0.007442,0.00321396883163116,0.00021526498462401,0.0107696,1,0,0
950,0.0265,1325,0.00285,0.038,0.007442,0.00321396883163116,0.00021478978594917,0.0105156,1,0,0
950,0.0265,1325,0.00285,0.038,0.007442,0.00321396883163116,0.00013543161280281,0.00762,1,0,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,0.00015020284768956,0.0150622,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,0.00026095848291513,0.0174498,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,0.00010772123423283,0.0132334,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,0.00020279913108003,0.0165862,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,5.512495084236e-05,0.0126238,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,0.00026146421639289,0.0175514,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,0.00010519256671785,0.0129794,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,0.00015880031712693,0.0151384,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,5.10790828941e-05,0.0123952,0,1,0
918,0.006225,1245,0.00180846,0.038,0.010795,0.00344178247015986,0.00020229339760227,0.01651,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,4.703321494584e-05,0.0122174,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00020178766412451,0.0164084,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00015424871563782,0.0149352,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00010620403373646,0.0129286,0,1,0
